,BinCenter,Ratio,Isoscalar_Ratio,IsoCor,Ratio_Error,RStat,RSyst,IsoRatio_Error,IsoStat,IsoSyst,IsoCorErr,RC
0,0.195,1.041,0.988,0.949,0.0076,0.0026,0.0072,0.0081,0.0025,0.0068,0.0036,0.999
1,0.225,1.042,0.984,0.944,0.0074,0.0028,0.0069,0.0079,0.0026,0.0065,0.0036,0.998
2,0.255,1.042,0.978,0.939,0.0079,0.0039,0.0069,0.0083,0.0037,0.0065,0.0037,0.998
3,0.285,1.05,0.981,0.934,0.0082,0.0044,0.0069,0.0086,0.0041,0.0065,0.0037,0.997
4,0.315,1.037,0.964,0.93,0.0083,0.0047,0.0068,0.0087,0.0043,0.0063,0.004,0.997
5,0.345,1.05,0.971,0.925,0.0087,0.0054,0.0069,0.0091,0.005,0.0064,0.0042,0.997
6,0.375,1.063,0.979,0.921,0.01,0.0072,0.0072,0.01,0.0066,0.0066,0.0047,0.997
7,0.405,1.053,0.965,0.917,0.011,0.0086,0.007,0.011,0.0079,0.0064,0.0047,0.997
8,0.435,1.037,0.947,0.913,0.011,0.0088,0.0069,0.011,0.008,0.0063,0.005,0.997
9,0.465,1.053,0.957,0.909,0.011,0.009,0.007,0.011,0.0082,0.0063,0.005,0.997
10,0.495,1.074,0.973,0.906,0.011,0.0088,0.007,0.011,0.008,0.0063,0.0049,0.997
11,0.525,1.078,0.973,0.902,0.012,0.0098,0.0072,0.012,0.0088,0.0065,0.0052,0.997
12,0.555,1.061,0.955,0.899,0.012,0.0096,0.0069,0.012,0.0086,0.0062,0.0051,0.997
13,0.585,1.056,0.947,0.896,0.012,0.0099,0.0069,0.012,0.0089,0.0062,0.0052,0.997
14,0.615,1.055,0.943,0.894,0.012,0.01,0.0069,0.012,0.0093,0.0062,0.0055,0.998
15,0.645,1.079,0.962,0.891,0.013,0.011,0.007,0.013,0.0098,0.0063,0.0055,0.998
16,0.675,1.053,0.936,0.889,0.013,0.012,0.0069,0.013,0.01,0.0062,0.0057,0.998
17,0.705,1.094,0.971,0.887,0.014,0.011,0.0071,0.013,0.01,0.0063,0.0056,0.998
18,0.735,1.09,0.966,0.886,0.013,0.011,0.0071,0.013,0.0099,0.0063,0.0055,0.999
19,0.765,1.102,0.975,0.885,0.013,0.011,0.0071,0.013,0.01,0.0063,0.0056,0.999
20,0.795,1.103,0.975,0.884,0.015,0.013,0.0072,0.014,0.011,0.0063,0.006,1.0
21,0.825,1.117,0.986,0.883,0.017,0.016,0.0073,0.017,0.014,0.0064,0.0066,1.001
