,BinCenter,Ratio,Isoscalar_Ratio,IsoCor,Ratio_Error,RStat,RSyst,IsoRatio_Error,IsoStat,IsoSyst,IsoCorErr,RC
0,0.195,1.07,1.016,0.949,0.0078,0.0027,0.0074,0.0083,0.0026,0.007,0.0037,0.999
1,0.225,1.071,1.011,0.944,0.0077,0.0029,0.0071,0.0081,0.0027,0.0067,0.0036,0.998
2,0.255,1.071,1.006,0.939,0.0081,0.004,0.0071,0.0085,0.0038,0.0066,0.0038,0.998
3,0.285,1.079,1.008,0.934,0.0085,0.0045,0.0071,0.0088,0.0042,0.0067,0.0038,0.997
4,0.315,1.066,0.991,0.93,0.0085,0.0048,0.007,0.0089,0.0045,0.0065,0.0041,0.997
5,0.345,1.079,0.998,0.925,0.009,0.0055,0.0071,0.0094,0.0051,0.0066,0.0043,0.997
6,0.375,1.093,1.006,0.921,0.01,0.0074,0.0074,0.011,0.0068,0.0068,0.0049,0.997
7,0.405,1.082,0.992,0.917,0.011,0.0089,0.0071,0.012,0.0081,0.0066,0.0049,0.997
8,0.435,1.066,0.973,0.913,0.012,0.0091,0.0071,0.012,0.0083,0.0065,0.0052,0.997
9,0.465,1.082,0.984,0.909,0.012,0.0093,0.0072,0.012,0.0084,0.0065,0.0051,0.997
10,0.495,1.104,1.0,0.906,0.012,0.0091,0.0072,0.012,0.0082,0.0065,0.0051,0.997
11,0.525,1.108,1.0,0.902,0.012,0.01,0.0074,0.012,0.0091,0.0066,0.0053,0.997
12,0.555,1.091,0.981,0.899,0.012,0.0098,0.0071,0.012,0.0088,0.0064,0.0052,0.997
13,0.585,1.086,0.973,0.896,0.012,0.01,0.0071,0.012,0.0092,0.0063,0.0054,0.997
14,0.615,1.085,0.97,0.894,0.013,0.011,0.0071,0.013,0.0096,0.0063,0.0056,0.998
15,0.645,1.109,0.989,0.891,0.013,0.011,0.0072,0.013,0.01,0.0064,0.0056,0.998
16,0.675,1.082,0.962,0.889,0.014,0.012,0.0071,0.014,0.011,0.0063,0.0059,0.998
17,0.705,1.125,0.998,0.887,0.014,0.012,0.0073,0.014,0.01,0.0065,0.0057,0.998
18,0.735,1.121,0.993,0.886,0.014,0.011,0.0073,0.013,0.01,0.0064,0.0057,0.999
19,0.765,1.133,1.002,0.885,0.014,0.012,0.0073,0.014,0.01,0.0065,0.0057,0.999
20,0.795,1.134,1.002,0.884,0.015,0.013,0.0074,0.015,0.011,0.0065,0.0062,1.0
21,0.825,1.149,1.014,0.883,0.018,0.016,0.0075,0.017,0.014,0.0066,0.0068,1.001
